herb,molecule,target
Abrus precatorius,Abrectorin,PON1
Abrus precatorius,Abrectorin,PRKDC
Abrus precatorius,Abrectorin,PTPRS
Abrus precatorius,Abrectorin,QDPR
Abrus precatorius,Abrectorin,RCE1
Abrus precatorius,Abrectorin,SIGMAR1
Abrus precatorius,Abrectorin,SK-N-SH
Abrus precatorius,Abrectorin,ST6GAL1
Abrus precatorius,Abrectorin,TERT
Abrus precatorius,Abrectorin,TNKS
Abrus precatorius,Abrectorin,TNKS2
Abrus precatorius,Abrectorin,TTR
Abrus precatorius,Abrectorin,TUBB1
Abrus precatorius,Abrectorin,VEGFA
Abrus precatorius,Abrectorin,XDH
Abrus precatorius,Abrine,ACE
Abrus precatorius,Abrine,ACE2
Abrus precatorius,Abrine,ACHE
Abrus precatorius,Abrine,ADAM12
Abrus precatorius,Abrine,ADAM17
Abrus precatorius,Abrine,ADAM9
Abrus precatorius,Abrine,ADAMTS4
Abrus precatorius,Abrine,ADCY5
Abrus precatorius,Abrine,ADRB3
Abrus precatorius,Abrine,AHR
Abrus precatorius,Abrine,AKT1
Abrus precatorius,Abrine,AKT2
Abrus precatorius,Abrine,AKT3
Abrus precatorius,Abrine,ANPEP
Abrus precatorius,Abrine,BCHE
Abrus precatorius,Abrine,BMP1
Abrus precatorius,Abrine,BRS3
Abrus precatorius,Abrine,C3AR1
Abrus precatorius,Abrine,C5AR1
Abrus precatorius,Abrine,CAMK2D
Abrus precatorius,Abrine,CAMKK2
Abrus precatorius,Abrine,CAPN1
Abrus precatorius,Abrine,CAPN2
Abrus precatorius,Abrine,CAPNS1
Abrus precatorius,Abrine,CASP10
Abrus precatorius,Abrine,CASP4
Abrus precatorius,Abrine,CASP5
Abrus precatorius,Abrine,CASP9
Abrus precatorius,Abrine,CBX4
Abrus precatorius,Abrine,CBX7
Abrus precatorius,Abrine,CCKAR
Abrus precatorius,Abrine,CCKBR
Abrus precatorius,Abrine,CDC25B
Abrus precatorius,Abrine,CDC42BPA
Abrus precatorius,Abrine,CFTR
Abrus precatorius,Abrine,CPA1
Abrus precatorius,Abrine,CTBP2
Abrus precatorius,Abrine,CTSB
Abrus precatorius,Abrine,CTSL
Abrus precatorius,Abrine,DRD2
Abrus precatorius,Abrine,DRD3
Abrus precatorius,Abrine,DRD4
Abrus precatorius,Abrine,DYRK3
Abrus precatorius,Abrine,ECE1
Abrus precatorius,Abrine,EDNRA
Abrus precatorius,Abrine,EDNRB
Abrus precatorius,Abrine,EPHA1
Abrus precatorius,Abrine,EPHA3
Abrus precatorius,Abrine,EPHA4
Abrus precatorius,Abrine,EPHA5
Abrus precatorius,Abrine,EPHA6
Abrus precatorius,Abrine,EPHA7
Abrus precatorius,Abrine,EPHA8
Abrus precatorius,Abrine,EPHB1
Abrus precatorius,Abrine,EPHB2
Abrus precatorius,Abrine,EPHB3
Abrus precatorius,Abrine,EPHB6
Abrus precatorius,Abrine,ERAP1
Abrus precatorius,Abrine,ERAP2
Abrus precatorius,Abrine,FOLH1
Abrus precatorius,Abrine,FPR1
Abrus precatorius,Abrine,FPR2
Abrus precatorius,Abrine,GABRA1
Abrus precatorius,Abrine,GABRB1
Abrus precatorius,Abrine,GABRB2
Abrus precatorius,Abrine,GABRG2
Abrus precatorius,Abrine,GHSR
Abrus precatorius,Abrine,GPR84
Abrus precatorius,Abrine,GRPR
Abrus precatorius,Abrine,GSK3A
Abrus precatorius,Abrine,GSK3B
Abrus precatorius,Abrine,HDAC1
Abrus precatorius,Abrine,HDAC10
Abrus precatorius,Abrine,HDAC11
Abrus precatorius,Abrine,HDAC2
Abrus precatorius,Abrine,HDAC3
Abrus precatorius,Abrine,HDAC5
Abrus precatorius,Abrine,HDAC6
Abrus precatorius,Abrine,HDAC7
Abrus precatorius,Abrine,HDAC8
Abrus precatorius,Abrine,HDAC9
Abrus precatorius,Abrine,HGFAC
Abrus precatorius,Abrine,HLA-A
Abrus precatorius,Abrine,HPN
Abrus precatorius,Abrine,HTR1A
Abrus precatorius,Abrine,HTR1B
Abrus precatorius,Abrine,HTR1D
Abrus precatorius,Abrine,HTR1E
Abrus precatorius,Abrine,HTR2A
Abrus precatorius,Abrine,HTR2B
Abrus precatorius,Abrine,HTR2C
Abrus precatorius,Abrine,HTR4
Abrus precatorius,Abrine,IDE
Abrus precatorius,Abrine,IDO1
Abrus precatorius,Abrine,IMPDH1
Abrus precatorius,Abrine,IMPDH2
Abrus precatorius,Abrine,JUN
Abrus precatorius,Abrine,KCNA5
Abrus precatorius,Abrine,KISS1R
Abrus precatorius,Abrine,LAP3
Abrus precatorius,Abrine,LNPEP
Abrus precatorius,Abrine,LTA4H
Abrus precatorius,Abrine,MAGI3
Abrus precatorius,Abrine,MAPK8
Abrus precatorius,Abrine,MAPK9
Abrus precatorius,Abrine,MC1R
Abrus precatorius,Abrine,MC3R
Abrus precatorius,Abrine,MC4R
Abrus precatorius,Abrine,MC5R
Abrus precatorius,Abrine,MDM4
Abrus precatorius,Abrine,MME
Abrus precatorius,Abrine,MMP1
Abrus precatorius,Abrine,MMP11
Abrus precatorius,Abrine,MMP14
Abrus precatorius,Abrine,MMP15
Abrus precatorius,Abrine,MMP17
Abrus precatorius,Abrine,MMP2
Abrus precatorius,Abrine,MMP25
Abrus precatorius,Abrine,MMP26
Abrus precatorius,Abrine,MMP3
Abrus precatorius,Abrine,MMP7
Abrus precatorius,Abrine,MMP8
Abrus precatorius,Abrine,MMP9
Abrus precatorius,Abrine,MPO
Abrus precatorius,Abrine,MTNR1A
Abrus precatorius,Abrine,MTNR1B
Abrus precatorius,Abrine,NAALAD2
Abrus precatorius,Abrine,NCOR1
Abrus precatorius,Abrine,NCOR2
Abrus precatorius,Abrine,NMBR
Abrus precatorius,Abrine,NMUR1
Abrus precatorius,Abrine,NPEPPS
Abrus precatorius,Abrine,NR3C1
Abrus precatorius,Abrine,NR3C2
Abrus precatorius,Abrine,NTSR1
Abrus precatorius,Abrine,OPRD1
Abrus precatorius,Abrine,OPRM1
Abrus precatorius,Abrine,P4HB
Abrus precatorius,Abrine,PIN1
Abrus precatorius,Abrine,PPARA
Abrus precatorius,Abrine,PPARG
Abrus precatorius,Abrine,PPIB
Abrus precatorius,Abrine,PRKAA1
Abrus precatorius,Abrine,PRKAB2
Abrus precatorius,Abrine,PRKCG
Abrus precatorius,Abrine,PRKD2
Abrus precatorius,Abrine,PRKG2
Abrus precatorius,Abrine,PRKX
Abrus precatorius,Abrine,PSMB5
Abrus precatorius,Abrine,PSMB8
Abrus precatorius,Abrine,PSMB9
Abrus precatorius,Abrine,PTPN1
Abrus precatorius,Abrine,PTPN2
Abrus precatorius,Abrine,RAD51
Abrus precatorius,Abrine,REN
Abrus precatorius,Abrine,RPS6KA3
Abrus precatorius,Abrine,RUVBL1
Abrus precatorius,Abrine,SGK2
Abrus precatorius,Abrine,SLC16A10 protein
Abrus precatorius,Abrine,SLC18A2
Abrus precatorius,Abrine,SLC7A5
Abrus precatorius,Abrine,SNCA
Abrus precatorius,Abrine,SPR
Abrus precatorius,Abrine,SSTR1
Abrus precatorius,Abrine,SSTR2
Abrus precatorius,Abrine,SSTR3
Abrus precatorius,Abrine,SSTR4
Abrus precatorius,Abrine,SSTR5
Abrus precatorius,Abrine,ST14
Abrus precatorius,Abrine,ST3GAL1
Abrus precatorius,Abrine,STK3
Abrus precatorius,Abrine,Solute carrier organic anion transporter family member 1B1
Abrus precatorius,Abrine,Solute carrier organic anion transporter family member 1B3
Abrus precatorius,Abrine,TACR1
Abrus precatorius,Abrine,TACR2
Abrus precatorius,Abrine,TAOK3
Abrus precatorius,Abrine,TMPRSS6
Abrus precatorius,Abrine,TYR
Abrus precatorius,Abruquinone A,ACHE
Abrus precatorius,Abruquinone A,ADRA2C
Abrus precatorius,Abruquinone A,ALOX15B
Abrus precatorius,Abruquinone A,BRD4
Abrus precatorius,Abruquinone A,BRD9
Abrus precatorius,Abruquinone A,CA12
Abrus precatorius,Abruquinone A,CA2
Abrus precatorius,Abruquinone A,CA6
Abrus precatorius,Abruquinone A,CA7
Abrus precatorius,Abruquinone A,CDK2
Abrus precatorius,Abruquinone A,CDK4
Abrus precatorius,Abruquinone A,GSK3B
Abrus precatorius,Abruquinone A,ICAM1
Abrus precatorius,Abruquinone A,LRRK2
Abrus precatorius,Abruquinone A,ODC1
Abrus precatorius,Abruquinone A,PDGFRB
Abrus precatorius,Abruquinone A,SELE
Abrus precatorius,Abruquinone A,SYK
Abrus precatorius,Abruquinone A,VCAM1
Abrus precatorius,Abruquinone B,BRD4
Abrus precatorius,Abruquinone B,BRD9
Abrus precatorius,Abruquinone B,CHEK1
Abrus precatorius,Abruquinone B,EGFR
Abrus precatorius,Abruquinone B,HCRTR2
Abrus precatorius,Abruquinone B,ICAM1
Abrus precatorius,Abruquinone B,JAK3
Abrus precatorius,Abruquinone B,KDM5B
Abrus precatorius,Abruquinone B,LRRK2
Abrus precatorius,Abruquinone B,MMP13
Abrus precatorius,Abruquinone B,MMP2
Abrus precatorius,Abruquinone B,NTRK1
Abrus precatorius,Abruquinone B,ODC1
Abrus precatorius,Abruquinone B,PDE5A
Abrus precatorius,Abruquinone B,SELE
Abrus precatorius,Abruquinone B,SYK
Abrus precatorius,HYPAPHORINE,ACE
Abrus precatorius,HYPAPHORINE,ACHE
Abrus precatorius,HYPAPHORINE,ADAM12
Abrus precatorius,HYPAPHORINE,ADCY5
Abrus precatorius,HYPAPHORINE,AHR
Abrus precatorius,HYPAPHORINE,AKT1
Abrus precatorius,HYPAPHORINE,AKT3
Abrus precatorius,HYPAPHORINE,BCHE
Abrus precatorius,HYPAPHORINE,BMP1
Abrus precatorius,HYPAPHORINE,BRS3
Abrus precatorius,HYPAPHORINE,C3AR1
Abrus precatorius,HYPAPHORINE,CBX7
Abrus precatorius,HYPAPHORINE,CCKAR
Abrus precatorius,HYPAPHORINE,CCKBR
Abrus precatorius,HYPAPHORINE,CDC42BPA
Abrus precatorius,HYPAPHORINE,CFTR
Abrus precatorius,HYPAPHORINE,CTSB
Abrus precatorius,HYPAPHORINE,CTSL
Abrus precatorius,HYPAPHORINE,DRD2
Abrus precatorius,HYPAPHORINE,DRD3
Abrus precatorius,HYPAPHORINE,DRD4
Abrus precatorius,HYPAPHORINE,DYRK3
Abrus precatorius,HYPAPHORINE,ECE1
Abrus precatorius,HYPAPHORINE,EDNRA
Abrus precatorius,HYPAPHORINE,EDNRB
Abrus precatorius,HYPAPHORINE,EPHA1
Abrus precatorius,HYPAPHORINE,EPHA3
Abrus precatorius,HYPAPHORINE,EPHA4
Abrus precatorius,HYPAPHORINE,EPHA5
Abrus precatorius,HYPAPHORINE,EPHA6
Abrus precatorius,HYPAPHORINE,EPHA7
Abrus precatorius,HYPAPHORINE,EPHA8
Abrus precatorius,HYPAPHORINE,EPHB1
Abrus precatorius,HYPAPHORINE,EPHB2
Abrus precatorius,HYPAPHORINE,EPHB3
Abrus precatorius,HYPAPHORINE,EPHB6
Abrus precatorius,HYPAPHORINE,ERAP1
Abrus precatorius,HYPAPHORINE,ERAP2
Abrus precatorius,HYPAPHORINE,FPR1
Abrus precatorius,HYPAPHORINE,FPR2
Abrus precatorius,HYPAPHORINE,GABRB1
Abrus precatorius,HYPAPHORINE,GABRB2
Abrus precatorius,HYPAPHORINE,GHSR
Abrus precatorius,HYPAPHORINE,GPR84
Abrus precatorius,HYPAPHORINE,GRPR
Abrus precatorius,HYPAPHORINE,HDAC1
Abrus precatorius,HYPAPHORINE,HDAC10
Abrus precatorius,HYPAPHORINE,HDAC11
Abrus precatorius,HYPAPHORINE,HDAC2
Abrus precatorius,HYPAPHORINE,HDAC3
Abrus precatorius,HYPAPHORINE,HDAC5
Abrus precatorius,HYPAPHORINE,HDAC6
Abrus precatorius,HYPAPHORINE,HDAC7
Abrus precatorius,HYPAPHORINE,HDAC8
Abrus precatorius,HYPAPHORINE,HDAC9
Abrus precatorius,HYPAPHORINE,HGFAC
Abrus precatorius,HYPAPHORINE,HPN
Abrus precatorius,HYPAPHORINE,HTR1A
Abrus precatorius,HYPAPHORINE,HTR1B
Abrus precatorius,HYPAPHORINE,HTR1D
Abrus precatorius,HYPAPHORINE,HTR1E
Abrus precatorius,HYPAPHORINE,HTR2A
Abrus precatorius,HYPAPHORINE,HTR2B
Abrus precatorius,HYPAPHORINE,HTR2C
Abrus precatorius,HYPAPHORINE,IDE
Abrus precatorius,HYPAPHORINE,IMPDH1
Abrus precatorius,HYPAPHORINE,IMPDH2
Abrus precatorius,HYPAPHORINE,KCNA5
Abrus precatorius,HYPAPHORINE,KISS1R
Abrus precatorius,HYPAPHORINE,LNPEP
Abrus precatorius,HYPAPHORINE,MAGI3
Abrus precatorius,HYPAPHORINE,MC1R
Abrus precatorius,HYPAPHORINE,MC3R
Abrus precatorius,HYPAPHORINE,MC4R
Abrus precatorius,HYPAPHORINE,MC5R
Abrus precatorius,HYPAPHORINE,MME
Abrus precatorius,HYPAPHORINE,MMP1
Abrus precatorius,HYPAPHORINE,MMP11
Abrus precatorius,HYPAPHORINE,MMP14
Abrus precatorius,HYPAPHORINE,MMP15
Abrus precatorius,HYPAPHORINE,MMP17
Abrus precatorius,HYPAPHORINE,MMP2
Abrus precatorius,HYPAPHORINE,MMP25
Abrus precatorius,HYPAPHORINE,MMP26
Abrus precatorius,HYPAPHORINE,MMP3
Abrus precatorius,HYPAPHORINE,MMP7
Abrus precatorius,HYPAPHORINE,MMP8
Abrus precatorius,HYPAPHORINE,MMP9
Abrus precatorius,HYPAPHORINE,MPO
Abrus precatorius,HYPAPHORINE,MTNR1A
Abrus precatorius,HYPAPHORINE,NCOR1
Abrus precatorius,HYPAPHORINE,NCOR2
Abrus precatorius,HYPAPHORINE,NMBR
Abrus precatorius,HYPAPHORINE,NR3C1
Abrus precatorius,HYPAPHORINE,NR3C2
Abrus precatorius,HYPAPHORINE,OPRD1
Abrus precatorius,HYPAPHORINE,OPRM1
Abrus precatorius,HYPAPHORINE,P4HB
Abrus precatorius,HYPAPHORINE,PPIB
Abrus precatorius,HYPAPHORINE,PRKAB2
Abrus precatorius,HYPAPHORINE,PRKCG
Abrus precatorius,HYPAPHORINE,PRKD2
Abrus precatorius,HYPAPHORINE,PRKG2
Abrus precatorius,HYPAPHORINE,PSMB8
Abrus precatorius,HYPAPHORINE,PSMB9
Abrus precatorius,HYPAPHORINE,RAD51
Abrus precatorius,HYPAPHORINE,RUVBL1
Abrus precatorius,HYPAPHORINE,SGK2
Abrus precatorius,HYPAPHORINE,SNCA
Abrus precatorius,HYPAPHORINE,SPR
Abrus precatorius,HYPAPHORINE,SSTR1
Abrus precatorius,HYPAPHORINE,SSTR2
Abrus precatorius,HYPAPHORINE,SSTR3
Abrus precatorius,HYPAPHORINE,SSTR4
Abrus precatorius,HYPAPHORINE,SSTR5
Abrus precatorius,HYPAPHORINE,ST14
Abrus precatorius,HYPAPHORINE,ST3GAL1
Abrus precatorius,HYPAPHORINE,STK3
Abrus precatorius,HYPAPHORINE,TACR1
Abrus precatorius,HYPAPHORINE,TACR2
Abrus precatorius,HYPAPHORINE,TAOK3
Abrus precatorius,HYPAPHORINE,TMPRSS6
Abrus precatorius,HYPAPHORINE,TYR
Abrus precatorius,Hypaphorine,ACE
Abrus precatorius,Hypaphorine,ACHE
Abrus precatorius,Hypaphorine,ADAM12
Abrus precatorius,Hypaphorine,ADCY5
Abrus precatorius,Hypaphorine,AHR
Abrus precatorius,Hypaphorine,AKT1
Abrus precatorius,Hypaphorine,AKT3
Abrus precatorius,Hypaphorine,BCHE
Abrus precatorius,Hypaphorine,BMP1
Abrus precatorius,Hypaphorine,BRS3
Abrus precatorius,Hypaphorine,C3AR1
Abrus precatorius,Hypaphorine,CBX7
Abrus precatorius,Hypaphorine,CCKAR
