Phytochemical,Plant,CID,SMILES,Database,Target_Name,Gene_Symbol,UniProt_ID,ChEMBL_ID,Target_Class,Target_Key,Probability,P_Value,Max_Tc,Rank
(+)-Bornyl acetate,Abies alba,6950274.0,CC(=O)OC1CC2CCC1(C)C2(C)C,PPB3,Solute carrier organic anion transporter family member 1B3,,,,DNN(Layered),Homo sapiens,0.15,,,36
(+)-Bornyl acetate,Abies alba,6950274.0,CC(=O)OC1CC2CCC1(C)C2(C)C,PPB3,Solute carrier organic anion transporter family member 1B1,,,,DNN(Layered),Homo sapiens,0.13,,,37
(+)-Bornyl acetate,Abies alba,6950274.0,CC(=O)OC1CC2CCC1(C)C2(C)C,PPB3,Ubiquitin carboxyl-terminal hydrolase 2,,,,DNN(Layered),Homo sapiens,0.1,,,38
(+)-Bornyl acetate,Abies alba,6950274.0,CC(=O)OC1CC2CCC1(C)C2(C)C,PPB3,Microtubule-associated protein tau,,,,DNN(Layered),Homo sapiens,0.07,,,39
(+)-Bornyl acetate,Abies alba,6950274.0,CC(=O)OC1CC2CCC1(C)C2(C)C,PPB3,Cytochrome P450 2C19,,,,DNN(Layered),Homo sapiens,0.07,,,40
(+)-Bornyl acetate,Abies alba,6950274.0,CC(=O)OC1CC2CCC1(C)C2(C)C,PPB3,Menin/Histone-lysine N-methyltransferase MLL,,,,DNN(Layered),Homo sapiens,0.06,,,41
(+)-Bornyl acetate,Abies alba,6950274.0,CC(=O)OC1CC2CCC1(C)C2(C)C,PPB3,Neuropeptide S receptor,,,,DNN(Layered),Homo sapiens,0.06,,,42
(+)-Bornyl acetate,Abies alba,6950274.0,CC(=O)OC1CC2CCC1(C)C2(C)C,PPB3,MAP kinase ERK2,,,,DNN(Layered),Homo sapiens,0.05,,,43
(+)-Bornyl acetate,Abies alba,6950274.0,CC(=O)OC1CC2CCC1(C)C2(C)C,PPB3,H9,,,,DNN(Layered),Homo sapiens,0.05,,,44
(+)-Bornyl acetate,Abies alba,6950274.0,CC(=O)OC1CC2CCC1(C)C2(C)C,PPB3,Thyroid stimulating hormone receptor,,,,DNN(Layered),Homo sapiens,0.05,,,45
(+)-Bornyl acetate,Abies alba,6950274.0,CC(=O)OC1CC2CCC1(C)C2(C)C,PPB3,Aldehyde dehydrogenase 1A1,,,,DNN(Layered),Homo sapiens,0.05,,,46
(+)-Bornyl acetate,Abies alba,6950274.0,CC(=O)OC1CC2CCC1(C)C2(C)C,PPB3,Prelamin-A/C,,,,DNN(Layered),Homo sapiens,0.05,,,47
(+)-Bornyl acetate,Abies alba,6950274.0,CC(=O)OC1CC2CCC1(C)C2(C)C,PPB3,Cytochrome P450 19A1,,,,DNN(MHFP6),Homo sapiens,0.08,,,48
(+)-Bornyl acetate,Abies alba,6950274.0,CC(=O)OC1CC2CCC1(C)C2(C)C,PPB3,Solute carrier organic anion transporter family member 1B3,,,,DNN(MHFP6),Homo sapiens,0.03,,,49
(+)-Bornyl acetate,Abies alba,6950274.0,CC(=O)OC1CC2CCC1(C)C2(C)C,PPB3,Tyrosyl-DNA phosphodiesterase 1,,,,DNN(MHFP6),Homo sapiens,0.02,,,50
(+)-Bornyl acetate,Abies alba,6950274.0,CC(=O)OC1CC2CCC1(C)C2(C)C,PPB3,Solute carrier organic anion transporter family member 1B1,,,,DNN(MHFP6),Homo sapiens,0.02,,,51
(+)-Bornyl acetate,Abies alba,6950274.0,CC(=O)OC1CC2CCC1(C)C2(C)C,PPB3,HUVEC,,,,DNN(MHFP6),Homo sapiens,0.02,,,52
(+)-Bornyl acetate,Abies alba,6950274.0,CC(=O)OC1CC2CCC1(C)C2(C)C,PPB3,Cannabinoid CB2 receptor,,,,DNN(MHFP6),Homo sapiens,0.02,,,53
(+)-Bornyl acetate,Abies alba,6950274.0,CC(=O)OC1CC2CCC1(C)C2(C)C,PPB3,Solute carrier organic anion transporter family member 1B3,,,,DNN(ECFP6),Homo sapiens,0.82,,,54
(+)-Bornyl acetate,Abies alba,6950274.0,CC(=O)OC1CC2CCC1(C)C2(C)C,PPB3,Solute carrier organic anion transporter family member 1B1,,,,DNN(ECFP6),Homo sapiens,0.77,,,55
(+)-Bornyl acetate,Abies alba,6950274.0,CC(=O)OC1CC2CCC1(C)C2(C)C,PPB3,Survival motor neuron protein,,,,DNN(ECFP6),Homo sapiens,0.06,,,56
(+)-Bornyl acetate,Abies alba,6950274.0,CC(=O)OC1CC2CCC1(C)C2(C)C,PPB3,Prelamin-A/C,,,,DNN(ECFP6),Homo sapiens,0.04,,,57
