"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signal transduction","hsa04015","Rap1 signaling pathway","18/346","212/9522",0.0849056603773585,2.33662340495147,3.82168406132563,0.000704669195419816,0.00244561661939818,0.00115190506248193,"9170/387/5159/1956/135/801/3815/5228/7422/111/207/208/10000/1813/2357/260425/5582/25865",18
"Human Diseases","Infectious disease: bacterial","hsa05131","Shigellosis","20/346","253/9522",0.0790513833992095,2.17551234892275,3.67979516845916,0.000896814751913578,0.00307628316063379,0.0014489540667392,"3725/4790/387/7132/2932/1956/207/208/10000/823/824/826/837/2931/5599/5601/84335/834/3576/3553",20
"Organismal Systems","Endocrine system","hsa04928","Parathyroid hormone synthesis, secretion and action","12/346","115/9522",0.104347826086957,2.87167630057803,3.92108917199726,0.000932672660360047,0.00316251074489901,0.00148956795121024,"2353/387/1956/4322/1385/111/4323/4324/4326/64386/5582/846",12
"Organismal Systems","Nervous system","hsa04725","Cholinergic synapse","12/346","116/9522",0.103448275862069,2.84692047040064,3.88621954617916,0.00100711331158288,0.0033624497793179,0.00158374084164126,"43/2353/2782/54331/1385/111/207/208/10000/817/5582/2534",12
"Human Diseases","Infectious disease: bacterial","hsa05120","Epithelial cell signaling in Helicobacter pylori infection","9/346","71/9522",0.126760563380282,3.48848001302613,4.08674066460571,0.00101443400121794,0.0033624497793179,0.00158374084164126,"3725/4790/5781/1956/6868/5599/5601/1445/3576",9
"Organismal Systems","Nervous system","hsa04723","Retrograde endocannabinoid signaling","14/346","149/9522",0.0939597315436242,2.58579353687396,3.78837619270728,0.0010292297793905,0.00337358649911331,0.00158898632607656,"2782/54331/111/2554/2560/2561/2566/5599/5601/5582/2890/2891/2892/2893",14
"Organismal Systems","Endocrine system","hsa04916","Melanogenesis","11/346","101/9522",0.108910891089109,2.9972529044812,3.91830172998112,0.00105949255843643,0.00343044174779686,0.00161576560467149,"2033/2932/801/1385/3815/111/817/1910/4157/5582/7299",11
"Environmental Information Processing","Signal transduction","hsa04012","ErbB signaling pathway","10/346","86/9522",0.116279069767442,3.20002688533405,3.97956751582378,0.00106983268066885,0.00343044174779686,0.00161576560467149,"3725/2932/1956/207/208/10000/817/5599/5601/5582",10
"Metabolism","Amino acid metabolism","hsa00220","Arginine biosynthesis","5/346","23/9522",0.217391304347826,5.98265895953757,4.64556741065797,0.00120578339789129,0.0038247967997627,0.00180151000024506,"383/384/4842/4843/4846",5
"Human Diseases","Cancer: specific types","hsa05223","Non-small cell lung cancer","9/346","73/9522",0.123287671232877,3.3929052181487,3.98516797682286,0.00124093630605093,0.00389442776898962,0.00183430674578637,"5915/1019/1956/3718/207/208/10000/842/5582",9
